,dayOfWeek,hour,id
0,Friday,0,3022
1,Friday,1,2172
2,Friday,2,1510
3,Friday,3,1296
4,Friday,4,1387
5,Friday,5,1642
6,Friday,6,2583
7,Friday,7,4888
8,Friday,8,8057
9,Friday,9,10754
10,Friday,10,12207
11,Friday,11,12022
12,Friday,12,11529
13,Friday,13,10992
14,Friday,14,11793
15,Friday,15,11429
16,Friday,16,9849
17,Friday,17,7958
18,Friday,18,6179
19,Friday,19,5184
20,Friday,20,4469
21,Friday,21,4435
22,Friday,22,4426
23,Friday,23,3763
24,Monday,0,2615
25,Monday,1,1853
26,Monday,2,1364
27,Monday,3,1268
28,Monday,4,1323
29,Monday,5,1579
30,Monday,6,2230
31,Monday,7,4265
32,Monday,8,6799
33,Monday,9,9441
34,Monday,10,10856
35,Monday,11,11462
36,Monday,12,11135
37,Monday,13,11237
38,Monday,14,12031
39,Monday,15,12274
40,Monday,16,10676
41,Monday,17,8900
42,Monday,18,7311
43,Monday,19,6032
44,Monday,20,5754
45,Monday,21,5708
46,Monday,22,5360
47,Monday,23,4182
48,Saturday,0,2781
49,Saturday,1,1948
50,Saturday,2,1420
51,Saturday,3,1040
52,Saturday,4,750
53,Saturday,5,845
54,Saturday,6,1220
55,Saturday,7,1811
56,Saturday,8,2724
57,Saturday,9,3863
58,Saturday,10,4417
59,Saturday,11,4798
60,Saturday,12,4910
61,Saturday,13,4629
62,Saturday,14,5056
63,Saturday,15,4995
64,Saturday,16,4738
65,Saturday,17,4553
66,Saturday,18,4365
67,Saturday,19,4058
68,Saturday,20,4188
69,Saturday,21,4048
70,Saturday,22,3906
71,Saturday,23,3461
72,Sunday,0,2789
73,Sunday,1,2120
74,Sunday,2,1478
75,Sunday,3,987
76,Sunday,4,816
77,Sunday,5,767
78,Sunday,6,1070
79,Sunday,7,1629
80,Sunday,8,2635
81,Sunday,9,3652
82,Sunday,10,4099
83,Sunday,11,4706
84,Sunday,12,4595
85,Sunday,13,4731
86,Sunday,14,4547
87,Sunday,15,4854
88,Sunday,16,4793
89,Sunday,17,4575
90,Sunday,18,4448
91,Sunday,19,4413
92,Sunday,20,4589
93,Sunday,21,4544
94,Sunday,22,4283
95,Sunday,23,3663
96,Thursday,0,3191
97,Thursday,1,2189
98,Thursday,2,1677
99,Thursday,3,1422
100,Thursday,4,1459
101,Thursday,5,1729
102,Thursday,6,2857
103,Thursday,7,5433
104,Thursday,8,8667
105,Thursday,9,10761
106,Thursday,10,12741
107,Thursday,11,12636
108,Thursday,12,12237
109,Thursday,13,12095
110,Thursday,14,12953
111,Thursday,15,12734
112,Thursday,16,11179
113,Thursday,17,8833
114,Thursday,18,7288
115,Thursday,19,6046
116,Thursday,20,5750
117,Thursday,21,5759
118,Thursday,22,5217
119,Thursday,23,4308
120,Tuesday,0,3160
121,Tuesday,1,2106
122,Tuesday,2,1643
123,Tuesday,3,1391
124,Tuesday,4,1406
125,Tuesday,5,1751
126,Tuesday,6,2928
127,Tuesday,7,5353
128,Tuesday,8,8443
129,Tuesday,9,11323
130,Tuesday,10,12731
131,Tuesday,11,12490
132,Tuesday,12,12206
133,Tuesday,13,12192
134,Tuesday,14,12679
135,Tuesday,15,12734
136,Tuesday,16,11502
137,Tuesday,17,8751
138,Tuesday,18,7131
139,Tuesday,19,6180
140,Tuesday,20,5862
141,Tuesday,21,5755
142,Tuesday,22,5469
143,Tuesday,23,4515
144,Wednesday,0,3097
145,Wednesday,1,2068
146,Wednesday,2,1549
147,Wednesday,3,1381
148,Wednesday,4,1415
149,Wednesday,5,1776
150,Wednesday,6,2818
151,Wednesday,7,5330
152,Wednesday,8,8546
153,Wednesday,9,11102
154,Wednesday,10,12932
155,Wednesday,11,12901
156,Wednesday,12,12506
157,Wednesday,13,12402
158,Wednesday,14,12985
159,Wednesday,15,13444
160,Wednesday,16,11780
161,Wednesday,17,9279
162,Wednesday,18,7193
163,Wednesday,19,6190
164,Wednesday,20,5923
165,Wednesday,21,5784
166,Wednesday,22,5507
167,Wednesday,23,4379
