Weekday,Hour,0
0,00,217
0,01,146
0,02,68
0,03,35
0,04,37
0,05,37
0,06,76
0,07,185
0,08,190
0,09,234
0,10,367
0,11,370
0,12,300
0,13,362
0,14,360
0,15,359
0,16,361
0,17,334
0,18,297
0,19,339
0,20,309
0,21,446
0,22,464
0,23,341
1,00,195
1,01,118
1,02,44
1,03,45
1,04,47
1,05,42
1,06,78
1,07,136
1,08,218
1,09,266
1,10,341
1,11,347
1,12,281
1,13,279
1,14,341
1,15,343
1,16,323
1,17,330
1,18,266
1,19,296
1,20,274
1,21,381
1,22,391
1,23,366
2,00,239
2,01,109
2,02,69
2,03,46
2,04,30
2,05,37
2,06,70
2,07,122
2,08,208
2,09,275
2,10,297
2,11,373
2,12,269
2,13,277
2,14,288
2,15,321
2,16,329
2,17,340
2,18,242
2,19,275
2,20,298
2,21,403
2,22,381
2,23,323
3,00,216
3,01,138
3,02,68
3,03,55
3,04,31
3,05,26
3,06,82
3,07,116
3,08,202
3,09,243
3,10,312
3,11,338
3,12,281
3,13,317
3,14,296
3,15,341
3,16,389
3,17,314
3,18,272
3,19,315
3,20,299
3,21,372
3,22,341
3,23,346
4,00,180
4,01,102
4,02,65
4,03,42
4,04,31
4,05,38
4,06,74
4,07,138
4,08,205
4,09,263
4,10,369
4,11,396
4,12,314
4,13,348
4,14,345
4,15,319
4,16,294
4,17,330
4,18,292
4,19,318
4,20,335
4,21,392
4,22,380
4,23,304
5,00,238
5,01,134
5,02,77
5,03,37
5,04,29
5,05,37
5,06,71
5,07,124
5,08,180
5,09,231
5,10,294
5,11,276
5,12,224
5,13,259
5,14,274
5,15,279
5,16,269
5,17,284
5,18,280
5,19,366
5,20,376
5,21,419
5,22,387
5,23,386
6,00,252
6,01,139
6,02,108
6,03,53
6,04,42
6,05,44
6,06,74
6,07,145
6,08,241
6,09,243
6,10,298
6,11,310
6,12,333
6,13,312
6,14,298
6,15,253
6,16,281
6,17,270
6,18,261
6,19,304
6,20,307
6,21,363
6,22,420
6,23,375
